iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
51,0.11363579999999995,30,10,53,4,130,10,110,7,0.8863642,0.7929994,0.8601772,0.73002684,0.8539176,5541.941262783018
52,0.11020136000000004,44,7,103,8,80,9,223,8,0.88979864,0.79782337,0.75746554,0.8356548,0.8411746,5546.0912011420005
53,0.11625929999999995,64,9,123,3,74,7,20,9,0.8837407,0.7962853,0.80536556,0.78777343,0.84996337,5504.399441908987
54,0.10829650000000003,50,8,86,6,234,9,186,5,0.8917035,0.80192494,0.8182738,0.7865995,0.8216962,5546.8273475400065
55,0.11410770000000005,57,9,27,7,232,6,151,5,0.8858923,0.7961338,0.82846063,0.76583064,0.8416161,5517.067948200973
56,0.10857090000000004,60,8,86,8,195,8,216,4,0.8914291,0.80226284,0.834409,0.77212906,0.822283,5585.063916290003
57,0.10988189999999998,51,3,64,6,219,9,251,4,0.8901181,0.80121416,0.81138617,0.7916789,0.82741326,6843.824560439
58,0.11554980000000005,64,6,30,8,33,9,102,6,0.8844502,0.7953065,0.7941672,0.7963745,0.84791493,6722.762708720999
59,0.11255455000000003,54,7,49,9,245,7,85,3,0.88744545,0.79897696,0.8092669,0.7893311,0.83770144,6845.188804132999
60,0.11224973000000003,53,9,39,5,256,8,139,5,0.88775027,0.7964601,0.85194105,0.74445224,0.8395754,6851.950169637
61,0.1156216,47,10,43,10,236,7,289,2,0.8843784,0.79405975,0.8219102,0.7679527,0.8476927,6843.634537440003
62,0.11665990000000005,41,8,74,7,227,2,311,3,0.8833401,0.79471225,0.81979096,0.77120346,0.85327333,6795.024007052998
63,0.11604780000000005,55,6,54,6,214,4,43,5,0.8839522,0.7948754,0.8125662,0.778292,0.8489961,6795.909904081999
64,0.10804159999999996,49,5,109,5,204,6,414,4,0.8919584,0.80272895,0.8245352,0.7822877,0.8199418,6947.555476905996
65,0.11647260000000005,59,2,109,5,204,3,387,4,0.8835274,0.7927197,0.8451739,0.7435492,0.8613956,6913.3291275220045
66,0.10897449999999996,50,5,99,5,193,5,442,4,0.8910255,0.80085295,0.8410317,0.7631894,0.8302586,6872.069334022992
