iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
18,0.13205515999999995,45,7,53,3,116,9,0.86794484,0.7849218,0.75774425,0.81196266,0.92633855,4639.721040891949
19,0.13463205,39,10,83,2,248,6,0.86536795,0.78517395,0.76757973,0.8026797,0.93100864,4627.23046646407
20,0.13669807,21,3,63,4,221,10,0.86330193,0.7823775,0.82319146,0.7417688,0.96464545,4619.983855040977
21,0.12770979999999998,64,9,127,10,22,4,0.8722902,0.78968966,0.7690045,0.8102707,0.8971559,4710.2840032440145
22,0.13146899999999995,57,5,127,9,25,2,0.868531,0.7836611,0.74446183,0.82266325,0.9157858,4860.745733516058
23,0.1287623,47,9,117,8,41,4,0.8712377,0.77258974,0.6643993,0.88023597,0.9378259,4672.74103401997
24,0.12453276000000002,32,5,102,8,114,5,0.87546724,0.78877276,0.7483224,0.82901955,0.89744145,4715.716699830024
25,0.13691694,60,2,120,9,40,2,0.86308306,0.7811855,0.8038882,0.758597,0.93427765,4735.7315894661015
26,0.12100599999999995,51,4,117,9,155,5,0.878994,0.79365516,0.8347734,0.7527437,0.8979194,4831.2509877651455
27,0.1245674,53,4,118,7,171,3,0.8754326,0.7923486,0.79763764,0.7870861,0.89990205,4891.961063806899
28,0.11835730000000001,49,4,94,8,151,7,0.8816427,0.79759777,0.81767625,0.77762026,0.8675969,4768.97188931983
29,0.12385139999999994,56,2,94,8,133,10,0.8761486,0.7902856,0.7609155,0.81950796,0.8881618,4691.850209553959
30,0.12358729999999996,62,5,66,7,106,7,0.8764127,0.7923027,0.80182004,0.78283334,0.8994305,4622.698246786138
31,0.12503960000000006,35,4,95,6,94,9,0.8749604,0.7849906,0.7216656,0.84799707,0.9085092,4823.501856757095
32,0.1251156,56,3,58,8,125,8,0.8748844,0.788406,0.84350586,0.73358333,0.915441,4862.483750304906
33,0.11996394,48,10,91,5,152,10,0.88003606,0.79523677,0.79322547,0.797238,0.87689704,4465.680177887203
34,0.11961390000000005,43,8,103,7,228,9,0.8803861,0.797231,0.79648864,0.79796964,0.88089126,4584.863183773821
35,0.12353780000000004,50,9,74,6,193,8,0.8764622,0.79294455,0.7892729,0.7965978,0.88597834,4891.403218225109
36,0.12896620000000006,36,2,126,10,78,7,0.8710338,0.7867556,0.82241017,0.7512804,0.9140288,4883.94227737491
37,0.11992519999999995,43,6,100,8,170,10,0.8800748,0.7963141,0.7731409,0.81937075,0.8759011,4628.175194981042
38,0.12139860000000002,54,5,112,5,43,9,0.8786014,0.79397607,0.77355456,0.8142949,0.8816303,4819.423899672926
39,0.13936349999999995,29,3,89,3,202,8,0.8606365,0.77857244,0.7542513,0.80277115,0.9602272,4686.826256259112
40,0.12101877000000005,61,7,78,7,76,7,0.87898123,0.79562646,0.7941447,0.7971008,0.8758643,4441.789420042187
41,0.12938930000000004,49,4,69,4,180,8,0.8706107,0.78180444,0.7193216,0.8439729,0.92965645,4968.7411824769815
42,0.12294214999999994,63,7,124,6,93,3,0.87705785,0.79418236,0.770751,0.8174959,0.88580984,4452.560197421117
43,0.12145490000000005,59,8,112,5,52,10,0.8785451,0.7955577,0.80954134,0.7816444,0.87673396,4587.687189789955
44,0.12445635,35,6,42,10,145,7,0.87554365,0.79108787,0.7861936,0.79595757,0.8912077,4860.048320593778
45,0.11837094999999995,54,5,100,9,71,9,0.88162905,0.798102,0.8011766,0.795043,0.86594176,4979.190280468669
46,0.1429825,41,10,17,6,159,6,0.8570175,0.7694036,0.7036492,0.8348271,0.96061033,4766.7453795159245
47,0.1248414,37,4,81,8,115,8,0.8751586,0.7899647,0.76813126,0.8116883,0.8911437,4287.165037768893
48,0.14556739999999999,45,2,31,7,129,4,0.8544326,0.7738734,0.7867911,0.76102066,0.96726304,5210.451628194655
49,0.12348163,58,9,87,4,87,7,0.87651837,0.79487,0.7721757,0.81745017,0.8887845,5090.227922882419
50,0.132618,33,3,52,5,206,9,0.867382,0.7811168,0.73278797,0.8292025,0.928941,4235.960081649944
51,0.13916974999999998,26,7,111,3,183,5,0.86083025,0.771031,0.853663,0.6888147,0.96337736,4964.099700067191
52,0.12177795000000002,55,8,71,9,122,6,0.87822205,0.7946867,0.7863315,0.8029998,0.87969506,4972.203011715785
